Date,Rec,GDP,Inflation,PCE,WasteGenerated,MultipleLinearRegressor,DecisionTreeRegressor,RandomForestRegressor,LassoRegressor,PolynomialRegressor,BayesRegressor,GradientBoostRegressor
1960-01-01,0,542.648,1.45797598627791,29.263,1760000.0,1760000.000000596,1760000.0,3079683.333333333,1755236.6257876083,1759999.9999999963,1743735.8559415638,1760128.1782266013
1961-01-01,1,545.018,1.07072414764724,29.914,,2275389.297888398,1760000.0,3041983.333333333,1975642.3423489183,1865459.8787113912,1701923.6860983372,1761269.2835918434
1962-01-01,0,594.013,1.19877334820186,31.271,,1679451.3048483431,1760000.0,3079683.333333333,1876107.177361481,1870291.3636773974,1705697.7449846119,1760128.1782266013
1963-01-01,0,621.672,1.23966942148753,32.086,,1630718.819761932,1760000.0,3079683.333333333,1919166.0486915186,1899514.2964339592,1688651.2755066305,1760128.1782266013
1964-01-01,0,669.822,1.27891156462591,34.724,,1625466.9539605677,1760000.0,3079683.333333333,1974402.276134409,1989787.6798185594,1691677.185898438,1760128.1782266013
1965-01-01,0,717.79,1.58516926383662,36.483,,1595033.677873224,1760000.0,3079683.333333333,2001240.0010806173,2015862.7231509686,1694350.228309676,1874123.6791363247
1966-01-01,0,795.734,3.0150753768844,39.802,,1564760.0697878897,2040000.0,3082483.333333333,1921006.0006180257,1982822.4200335108,1726423.7957883775,1906662.5785232815
1967-01-01,0,844.17,2.77278562259309,41.677,,1559209.834336102,2040000.0,3085283.333333333,2009788.3700223118,2061369.7293516472,1729690.387768373,1973003.442881514
1968-01-01,0,909.387,4.27179615288537,45.583,,1526289.5128712058,2040000.0,3128683.333333333,1910798.4322588444,2068293.4905170016,1749393.2079495639,2038949.5166502271
1969-01-01,0,993.337,5.46238620028745,48.81,,1508446.511690408,2040000.0,2384333.333333333,1862440.034349151,2045621.1692251489,1787198.325761497,2038949.5166502271
1970-01-01,1,1051.2,5.83825533848251,49.945,2040000.0,2040000.0000004172,2040000.0,2189808.333333333,2038221.1841884926,2040000.0000000075,1799599.270488292,2040090.6220154695
1971-01-01,0,1135.156,4.29276668813051,53.386,,1570563.7765367627,2040000.0,3151783.333333333,2150086.683501117,2248395.611604415,1837593.0054383427,2038949.5166502271
1972-01-01,0,1230.609,3.27227824655283,57.972,,1673298.140253067,2040000.0,3108383.333333333,2357201.657316044,2469244.10099807,1886847.0063400418,1973003.442881514
1973-01-01,0,1377.49,6.17776006377038,63.666,,1668988.2444746494,2040000.0,2265208.333333333,2158549.794529304,2345927.60299363,1986087.809390813,2038949.5166502271
1974-01-01,1,1491.209,11.0548048048048,66.876,,2088554.7323263884,2530000.0,2193975.0,1865000.2183809802,1990236.6868342645,2052955.5506281555,2118920.42462794
1975-01-01,1,1616.116,9.14314686496535,71.433,,2248402.3566857874,2040000.0,2212908.333333333,2195322.7004031017,2256132.4362480864,2130928.10791038,2040090.6220154695
1976-01-01,0,1820.487,5.74481263549085,76.913,,1973095.1228337586,2040000.0,2412708.333333333,2604442.826253839,2589652.395775009,2286419.1937487423,2141397.701649034
1977-01-01,0,1988.648,6.5016839947284,84.296,,2098770.9489402473,2040000.0,2498341.6666666665,2661115.7772409916,2720733.144632194,2406533.6699410677,2455498.724645415
1978-01-01,0,2202.76,7.63096383885606,94.638,,2288912.8265717924,2040000.0,2521441.6666666665,2704882.5859075785,2916727.6271055005,2571710.020253256,2455498.724645415
1979-01-01,0,2526.61,11.2544711292795,101.94,,2407057.688473195,2530000.0,2502508.3333333335,2557550.926322803,2637789.650846716,2843609.6838060915,2530053.055675544
1980-01-01,0,2789.842,13.5492019749684,108.834,2530000.0,2530000.0000000596,2530000.0,2502508.3333333335,2514511.80516845,2530000.0,3056437.3252610415,2530053.055675544
1981-01-01,0,3124.206,10.3347153402771,119.142,,2983364.6734681427,2530000.0,2893975.0000000005,3140800.8788159117,3004228.445890151,3338760.3287293017,2530053.055675544
1982-01-01,1,3274.302,6.13142700027493,122.67,,3806346.5226537287,2040000.0,2976408.333333333,3899148.0649880543,3439544.630858168,3441265.4837757796,2455498.724645415
1983-01-01,0,3473.413,3.21243523316065,132.91,,3582796.9844732285,2040000.0,4324783.333333334,4240424.952731997,4020012.720722869,3591891.631378889,2391924.664558953
1984-01-01,0,3908.054,4.30053547523429,144.696,,3954810.70086053,2040000.0,4368183.333333334,4454997.808007173,4138907.8949755356,3972061.2296797633,2455498.724645415
1985-01-01,0,4230.168,3.54564415209365,154.309,,4287576.326711357,2040000.0,5053308.333333334,4795764.459855348,4431013.22581327,4242361.087925285,3242301.015437924
1986-01-01,0,4507.894,1.89804772234276,165.11,,4644259.113342226,5810000.0,5769133.333333334,5200725.804369926,4909280.546174686,4469608.506767735,5809992.341463321
1987-01-01,0,4722.156,3.6645632175169,176.37,,4822869.009340912,5810000.0,5809733.333333334,5170825.670918748,5173421.096044775,4634971.23265487,5809992.341463321
1988-01-01,0,5073.372,4.07774110744413,188.078,,5161797.582951844,5810000.0,5809733.333333334,5397745.414514586,5483905.984386966,4933849.400015086,5809992.341463321
1989-01-01,0,5511.253,4.82700303008944,201.187,,5570696.173022687,5810000.0,5107533.333333334,5650413.954207249,5793945.127680138,5317137.129354358,5809992.341463321
1990-01-01,0,5872.701,5.39795643990325,206.534,5810000.0,5809999.999999851,5810000.0,5930600.0,5880364.398541428,5810000.0,5625622.887518093,5809992.341463321
1991-01-01,1,6035.178,4.23496396453849,210.116,,6517971.364285171,5810000.0,6595100.0,6305019.585284971,6038401.559865564,5740140.037713915,5809992.341463321
1992-01-01,0,6363.102,3.02881967814969,223.024,,6358229.169867665,5810000.0,6731200.0,6546343.400209166,6613111.452451058,6016416.832250565,5809992.341463321
1993-01-01,0,6729.459,2.95165696638559,231.122,,6670845.63983494,5810000.0,7113000.0,6847653.372343048,6862960.58776186,6329733.956399664,5809992.341463321
1994-01-01,0,7115.652,2.60744159215453,240.071,,7022228.761051238,5810000.0,7113000.0,7192494.433229975,7188468.352250986,6662555.635779753,5809992.341463321
1995-01-01,0,7522.289,2.80541968853662,244.705,,7297819.060567379,5810000.0,7113000.0,7500640.519415557,7265639.80731402,7015045.620413274,5809992.341463321
1996-01-01,0,7868.468,2.93120419993441,253.501,,7598953.079345614,5810000.0,8325100.0,7762073.99982366,7599028.846314695,7308855.303710625,6958183.323674878
1997-01-01,0,8362.655,2.33768993730735,262.012,,8030494.93432498,9480000.0,8802200.0,8218830.840145104,7957116.6533796415,7746778.744531646,9479894.861129405
1998-01-01,0,8866.48,1.55227909874364,273.082,,8517416.603174508,9480000.0,9486200.0,8699330.30796355,8491906.432437617,8194364.031108707,9479894.861129405
