Date,Rec,GDP,Inflation,PCE,CPI,WasteGenerated,WasteRecycled,WasteCombusted,WasteLandfilled
1960-01-31,0,542.648,1.45797598627791,29.263,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1960-04-30,0,541.08,1.45797598627791,29.263,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1960-05-31,1,541.08,1.45797598627791,29.263,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1960-07-31,1,545.604,1.45797598627791,29.263,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1960-10-31,1,540.197,1.45797598627791,29.263,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1961-01-31,1,545.018,1.07072414764724,29.914,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1961-03-31,0,545.018,1.07072414764724,29.914,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1961-04-30,0,555.545,1.07072414764724,29.914,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1961-07-31,0,567.664,1.07072414764724,29.914,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1961-10-31,0,580.612,1.07072414764724,29.914,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1962-01-31,0,594.013,1.19877334820186,31.271,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1962-04-30,0,600.366,1.19877334820186,31.271,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1962-07-31,0,609.027,1.19877334820186,31.271,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1962-10-31,0,612.28,1.19877334820186,31.271,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1963-01-31,0,621.672,1.23966942148753,32.086,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1963-04-30,0,629.752,1.23966942148753,32.086,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1963-07-31,0,644.444,1.23966942148753,32.086,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1963-10-31,0,653.938,1.23966942148753,32.086,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1964-01-31,0,669.822,1.27891156462591,34.724,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1964-04-30,0,678.674,1.27891156462591,34.724,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1964-07-31,0,692.031,1.27891156462591,34.724,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1964-10-31,0,697.319,1.27891156462591,34.724,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1965-01-31,0,717.79,1.58516926383662,36.483,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1965-04-30,0,730.191,1.58516926383662,36.483,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1965-07-31,0,749.323,1.58516926383662,36.483,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1965-10-31,0,771.857,1.58516926383662,36.483,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1966-01-31,0,795.734,3.0150753768844,39.802,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1966-04-30,0,804.981,3.0150753768844,39.802,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1966-07-31,0,819.638,3.0150753768844,39.802,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1966-10-31,0,833.302,3.0150753768844,39.802,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1967-01-31,0,844.17,2.77278562259309,41.677,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1967-04-30,0,848.983,2.77278562259309,41.677,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1967-07-31,0,865.233,2.77278562259309,41.677,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1967-10-31,0,881.439,2.77278562259309,41.677,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1968-01-31,0,909.387,4.27179615288537,45.583,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1968-04-30,0,934.344,4.27179615288537,45.583,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1968-07-31,0,950.825,4.27179615288537,45.583,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1968-10-31,0,968.03,4.27179615288537,45.583,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1969-01-31,0,993.337,5.46238620028745,48.81,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1969-04-30,0,1009.02,5.46238620028745,48.81,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1969-07-31,0,1029.956,5.46238620028745,48.81,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1969-10-31,0,1038.147,5.46238620028745,48.81,,1760000.0,0.028409090909090908,0.0,0.9715909090909091
1970-01-31,1,1051.2,5.83825533848251,49.945,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1970-04-30,1,1067.375,5.83825533848251,49.945,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1970-07-31,1,1086.059,5.83825533848251,49.945,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1970-10-31,1,1088.608,5.83825533848251,49.945,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1970-12-31,0,1088.608,5.83825533848251,49.945,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1971-01-31,0,1135.156,4.29276668813051,53.386,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1971-04-30,0,1156.271,4.29276668813051,53.386,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1971-07-31,0,1177.675,4.29276668813051,53.386,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1971-10-31,0,1190.297,4.29276668813051,53.386,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1972-01-31,0,1230.609,3.27227824655283,57.972,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1972-04-30,0,1266.369,3.27227824655283,57.972,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1972-07-31,0,1290.566,3.27227824655283,57.972,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1972-10-31,0,1328.904,3.27227824655283,57.972,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1973-01-31,0,1377.49,6.17776006377038,63.666,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1973-04-30,0,1413.887,6.17776006377038,63.666,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1973-07-31,0,1433.838,6.17776006377038,63.666,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1973-10-31,0,1476.289,6.17776006377038,63.666,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1973-12-31,1,1476.289,6.17776006377038,63.666,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1974-01-31,1,1491.209,11.0548048048048,66.876,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1974-04-30,1,1530.056,11.0548048048048,66.876,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1974-07-31,1,1560.026,11.0548048048048,66.876,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1974-10-31,1,1599.679,11.0548048048048,66.876,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1975-01-31,1,1616.116,9.14314686496535,71.433,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1975-04-30,0,1651.853,9.14314686496535,71.433,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1975-07-31,0,1709.82,9.14314686496535,71.433,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1975-10-31,0,1761.831,9.14314686496535,71.433,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1976-01-31,0,1820.487,5.74481263549085,76.913,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1976-04-30,0,1852.332,5.74481263549085,76.913,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1976-07-31,0,1886.558,5.74481263549085,76.913,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1976-10-31,0,1934.273,5.74481263549085,76.913,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1977-01-31,0,1988.648,6.5016839947284,84.296,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1977-04-30,0,2055.909,6.5016839947284,84.296,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1977-07-31,0,2118.473,6.5016839947284,84.296,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1977-10-31,0,2164.27,6.5016839947284,84.296,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1978-01-31,0,2202.76,7.63096383885606,94.638,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1978-04-30,0,2331.633,7.63096383885606,94.638,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1978-07-31,0,2395.053,7.63096383885606,94.638,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1978-10-31,0,2476.949,7.63096383885606,94.638,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1979-01-31,0,2526.61,11.2544711292795,101.94,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1979-04-30,0,2591.247,11.2544711292795,101.94,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1979-07-31,0,2667.565,11.2544711292795,101.94,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1979-10-31,0,2723.883,11.2544711292795,101.94,,2040000.0,0.029411764705882353,0.004901960784313725,0.9656862745098039
1980-01-31,0,2789.842,13.5492019749684,108.834,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1980-02-29,1,2789.842,13.5492019749684,108.834,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1980-04-30,1,2797.352,13.5492019749684,108.834,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1980-07-31,1,2856.483,13.5492019749684,108.834,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1980-08-31,0,2856.483,13.5492019749684,108.834,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1980-10-31,0,2985.557,13.5492019749684,108.834,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1981-01-31,0,3124.206,10.3347153402771,119.142,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1981-04-30,0,3162.532,10.3347153402771,119.142,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1981-07-31,0,3260.609,10.3347153402771,119.142,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1981-08-31,1,3260.609,10.3347153402771,119.142,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1981-10-31,1,3280.818,10.3347153402771,119.142,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1982-01-31,1,3274.302,6.13142700027493,122.67,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1982-04-30,1,3331.972,6.13142700027493,122.67,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1982-07-31,1,3366.322,6.13142700027493,122.67,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1982-10-31,1,3402.561,6.13142700027493,122.67,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1982-12-31,0,3402.561,6.13142700027493,122.67,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1983-01-31,0,3473.413,3.21243523316065,132.91,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1983-04-30,0,3578.848,3.21243523316065,132.91,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1983-07-31,0,3689.179,3.21243523316065,132.91,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1983-10-31,0,3794.706,3.21243523316065,132.91,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1984-01-31,0,3908.054,4.30053547523429,144.696,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1984-04-30,0,4009.601,4.30053547523429,144.696,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1984-07-31,0,4084.25,4.30053547523429,144.696,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1984-10-31,0,4148.551,4.30053547523429,144.696,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1985-01-31,0,4230.168,3.54564415209365,154.309,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1985-04-30,0,4294.887,3.54564415209365,154.309,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1985-07-31,0,4386.773,3.54564415209365,154.309,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1985-10-31,0,4444.094,3.54564415209365,154.309,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1986-01-31,0,4507.894,1.89804772234276,165.11,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1986-04-30,0,4545.34,1.89804772234276,165.11,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1986-07-31,0,4607.669,1.89804772234276,165.11,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1986-10-31,0,4657.627,1.89804772234276,165.11,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1987-01-31,0,4722.156,3.6645632175169,176.37,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1987-04-30,0,4806.16,3.6645632175169,176.37,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1987-07-31,0,4884.555,3.6645632175169,176.37,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1987-10-31,0,5007.994,3.6645632175169,176.37,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1988-01-31,0,5073.372,4.07774110744413,188.078,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1988-04-30,0,5190.036,4.07774110744413,188.078,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1988-07-31,0,5282.835,4.07774110744413,188.078,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1988-10-31,0,5399.509,4.07774110744413,188.078,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1989-01-31,0,5511.253,4.82700303008944,201.187,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1989-04-30,0,5612.463,4.82700303008944,201.187,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1989-07-31,0,5695.365,4.82700303008944,201.187,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1989-10-31,0,5747.237,4.82700303008944,201.187,,2530000.0,0.06324110671936758,0.019762845849802372,0.9169960474308301
1990-01-31,0,5872.701,5.39795643990325,206.534,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1990-04-30,0,5960.028,5.39795643990325,206.534,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1990-07-31,0,6015.116,5.39795643990325,206.534,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1990-08-31,1,6015.116,5.39795643990325,206.534,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1990-10-31,1,6004.733,5.39795643990325,206.534,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1991-01-31,1,6035.178,4.23496396453849,210.116,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1991-04-30,0,6126.862,4.23496396453849,210.116,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1991-07-31,0,6205.937,4.23496396453849,210.116,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1991-10-31,0,6264.54,4.23496396453849,210.116,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1992-01-31,0,6363.102,3.02881967814969,223.024,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1992-04-30,0,6470.763,3.02881967814969,223.024,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1992-07-31,0,6566.641,3.02881967814969,223.024,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1992-10-31,0,6680.803,3.02881967814969,223.024,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1993-01-31,0,6729.459,2.95165696638559,231.122,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1993-04-30,0,6808.939,2.95165696638559,231.122,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1993-07-31,0,6882.098,2.95165696638559,231.122,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1993-10-31,0,7013.738,2.95165696638559,231.122,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1994-01-31,0,7115.652,2.60744159215453,240.071,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1994-04-30,0,7246.931,2.60744159215453,240.071,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1994-07-31,0,7331.075,2.60744159215453,240.071,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1994-10-31,0,7455.288,2.60744159215453,240.071,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1995-01-31,0,7522.289,2.80541968853662,244.705,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1995-04-30,0,7580.997,2.80541968853662,244.705,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1995-07-31,0,7683.125,2.80541968853662,244.705,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1995-10-31,0,7772.586,2.80541968853662,244.705,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1996-01-31,0,7868.468,2.93120419993441,253.501,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1996-04-30,0,8032.84,2.93120419993441,253.501,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1996-07-31,0,8131.408,2.93120419993441,253.501,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1996-10-31,0,8259.771,2.93120419993441,253.501,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1997-01-31,0,8362.655,2.33768993730735,262.012,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1997-04-30,0,8518.825,2.33768993730735,262.012,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1997-07-31,0,8662.823,2.33768993730735,262.012,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1997-10-31,0,8765.907,2.33768993730735,262.012,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1998-01-31,0,8866.48,1.55227909874364,273.082,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1998-04-30,0,8969.699,1.55227909874364,273.082,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1998-07-31,0,9121.097,1.55227909874364,273.082,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1998-10-31,0,9293.991,1.55227909874364,273.082,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1999-01-31,0,9411.682,2.18802719697358,287.19,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
1999-04-30,0,9526.21,2.18802719697358,287.19,,5810000.0,0.11359724612736662,0.1514629948364888,0.7349397590361446
