DATE,USACP030000CTGYM
2011-12-01,0.141034907289243
2012-01-01,0.121436331750723
2012-02-01,0.107737456382112
2012-03-01,0.160563911073661
2012-04-01,0.179325576470087
2012-05-01,0.166677581774386
2012-06-01,0.124435553493475
2012-07-01,0.0962513809319978
2012-08-01,0.0739327411575982
2012-09-01,0.121578213085962
2012-10-01,0.155650180524346
2012-11-01,0.107396424046994
2012-12-01,0.0869462505418288
2013-01-01,0.100208410507338
2013-02-01,0.108063403636839
2013-03-01,0.041366242486291
2013-04-01,0.0165943680624818
2013-05-01,-0.00016541829213369
2013-06-01,0.0269588347443703
2013-07-01,0.0532232871178931
2013-08-01,0.073684218906075
2013-09-01,0.0320492474405207
2013-10-01,-0.00393902799241683
2013-11-01,-0.00873753049955459
2013-12-01,0.0283869996216688
2014-01-01,-0.000046495399461354800000000000
2014-02-01,-0.0201570281878882
2014-03-01,0.0170049951404884
2014-04-01,0.0282367561704524
2014-05-01,0.0406519226042492
2014-06-01,0.0444109477372846
2014-07-01,0.0309469066553512
2014-08-01,0.0161587189129289
2014-09-01,0.0263048730099651
2014-10-01,0.0341559279881714
2014-11-01,0.00564469340556233
2014-12-01,-0.0559747199999998
2015-01-01,-0.0366476386450093
2015-02-01,-0.0192333542216046
2015-03-01,-0.0128396006638727
2015-04-01,-0.0233803155762292
2015-05-01,-0.0423329752027686
2015-06-01,-0.0535612249324864
2015-07-01,-0.0445902180484275
2015-08-01,-0.0246791332778235
2015-09-01,-0.0454169696847673
2015-10-01,-0.0643587644338636
2015-11-01,-0.0480494880033715
2015-12-01,-0.0229281867327862
2016-01-01,-0.0139463338442735
2016-02-01,0.0185999298670441
2016-03-01,-0.0213250655901076
2016-04-01,-0.0208436594932046
2016-05-01,0.00677621286131751
2016-06-01,0.00697334774911406
2016-07-01,0.00730432271908628
2016-08-01,0.00109475184551936
2016-09-01,-0.00613882364150031
2016-10-01,0.0172164538444548
2016-11-01,0.00327650213244517
2016-12-01,-0.00581688137605013
2017-01-01,0.0297987261822036
2017-02-01,0.0135161423472568
2017-03-01,0.0131272405104768
2017-04-01,-0.00464002238586139
2017-05-01,-0.0351939952370269
2017-06-01,-0.0195763511293649
2017-07-01,-0.00822458733511009
2017-08-01,-0.0151671389363312
2017-09-01,-0.0183968901729072
2017-10-01,-0.0342339153211031
2017-11-01,-0.0587959503052102
2017-12-01,-0.051812743449916
2018-01-01,-0.0159591350652187
2018-02-01,0.0207731790807195
2018-03-01,0.0130779276469979
2018-04-01,0.0406604566395266
2018-05-01,0.0531008059616275
2018-06-01,0.0279650871153348
2018-07-01,0.0115557015354549
2018-08-01,-0.0333570518572021
2018-09-01,0.00139083391997148
2018-10-01,0.00435442230712202
2018-11-01,0.00459096870075846
2018-12-01,0.0112053394514549
2019-01-01,0.014101203005477
2019-02-01,-0.00298759493224598
2019-03-01,-0.0473965778520506
2019-04-01,-0.081104663396464
2019-05-01,-0.0830340096991961
2019-06-01,-0.0400303270817814
2019-07-01,-0.00922848454040373
2019-08-01,0.04092446272115
2019-09-01,0.00382418998132998
2019-10-01,-0.0554142417302793
2019-11-01,-0.0375465849595136
2019-12-01,-0.0246829501418138
2020-01-01,-0.0307712745293434
2020-02-01,-0.027391986046081
2020-03-01,-0.0439711723488624
2020-04-01,-0.155891453466197
2020-05-01,-0.216778807785327
2020-06-01,-0.193844914789202
2020-07-01,-0.172016679758365
2020-08-01,-0.163297421650278
2020-09-01,-0.177894626671654
2020-10-01,-0.155963562776264
2020-11-01,-0.140991860503876
2020-12-01,-0.107130576451606
2021-01-01,-0.0695528706285308
2021-02-01,-0.0970627196392194
2021-03-01,-0.0753740083164822
2021-04-01,0.0452139555004798
2021-05-01,0.138263360348091
2021-06-01,0.124232195414802
2021-07-01,0.108319663868311
2021-08-01,0.109260344995795
2021-09-01,0.0940567333881142
2021-10-01,0.12250213499163
2021-11-01,0.143994263530107
2021-12-01,0.162500462574965
2022-01-01,0.150369929944898
2022-02-01,0.190251479759266
2022-03-01,0.201491651394581
2022-04-01,0.166976545948468
2022-05-01,0.154669715217053
2022-06-01,0.157932400162417
2022-07-01,0.152736757532341
2022-08-01,0.151418444605615
2022-09-01,0.155246666843961
2022-10-01,0.120190310065877
2022-11-01,0.0975054689430339
2022-12-01,0.078726467889942
2023-01-01,0.0739881636850029
2023-02-01,0.0720073241560687
2023-03-01,0.0692958620273424
2023-04-01,0.0792989155815571
2023-05-01,0.0792453584606327
2023-06-01,0.0632767341855692
2023-07-01,0.0638542402850716
2023-08-01,0.0669768301851259
2023-09-01,0.057555418005223
2023-10-01,0.0609709476108217
2023-11-01,0.0297157696400459
2023-12-01,0.025392453968438
